23:54:19 autowsgr  INFO  | 资源加载成功
23:54:21 autowsgr  INFO  | Android Connected!
23:54:22 autowsgr  INFO  | resolution:(1280, 720)
23:54:22 autowsgr  INFO  | 控制器初始化成功
23:54:26 autowsgr  INFO  | OCR 后端初始化成功
23:54:27 autowsgr  INFO  | 启动成功, 当前位置: main_page
23:54:27 autowsgr  DEBUG | ('click (0.938 0.889)',)
23:54:29 autowsgr  DEBUG | ('click (0.689 0.046)',)
23:54:31 autowsgr  DEBUG | ('click (0.120 0.209)',)
23:54:34 autowsgr  DEBUG | ("原始OCR结果: [((np.float64(66.0), np.float64(47.5)), 'Ex-6', np.float64(0.9928023219108582))]",)
23:54:34 autowsgr  DEBUG | ("修正OCR结果：[([np.float64(33.0), np.float64(23.0)], 'Ex-6', np.float64(0.9928023219108582))]",)
23:54:35 autowsgr  DEBUG | ("原始OCR结果: [((np.float64(66.0), np.float64(47.5)), 'Ex-6', np.float64(0.9928023219108582))]",)
23:54:35 autowsgr  DEBUG | ("修正OCR结果：[([np.float64(33.0), np.float64(23.0)], 'Ex-6', np.float64(0.9928023219108582))]",)
23:54:36 autowsgr  INFO  | 识别决战地图参数, 第 1 小节正在进行
23:54:36 autowsgr  DEBUG | ('click (0.521 0.926)',)
23:54:39 autowsgr  DEBUG | ('click (0.312 0.417)',)
23:54:40 autowsgr  DEBUG | ('click (0.501 0.851)',)
23:54:42 autowsgr  DEBUG | ("原始OCR结果: [((np.float64(72.0), np.float64(35.0)), '10', np.float64(0.999827708030808))]",)
23:54:42 autowsgr  DEBUG | ("修正OCR结果：[([np.float64(36.0), np.float64(17.0)], '10', np.float64(0.999827708030808))]",)
23:54:42 autowsgr  DEBUG | ('数字解析结果：[([np.float64(36.0), np.float64(17.0)], 10, np.float64(0.999827708030808))]',)
23:54:42 autowsgr  DEBUG | ('当前可用费用为：10',)
23:54:42 autowsgr  DEBUG | ("原始OCR结果: [((np.float64(193.0), np.float64(32.0)), 'x4', np.float64(0.8570212758903571)), ((np.float64(513.0), np.float64(32.0)), 'x4', np.float64(0.815403407129695)), ((np.float64(834.0), np.float64(32.0)), 'x4', np.float64(0.9233469275275517)), ((np.float64(1154.0), np.float64(33.0)), 'x5', np.float64(0.9847507373878163)), ((np.float64(1474.0), np.float64(33.0)), 'x6', np.float64(0.968938619432501))]",)
23:54:42 autowsgr  DEBUG | ("修正OCR结果：[([np.float64(96.0), np.float64(16.0)], 'x4', np.float64(0.8570212758903571)), ([np.float64(256.0), np.float64(16.0)], 'x4', np.float64(0.815403407129695)), ([np.float64(417.0), np.float64(16.0)], 'x4', np.float64(0.9233469275275517)), ([np.float64(577.0), np.float64(16.0)], 'x5', np.float64(0.9847507373878163)), ([np.float64(737.0), np.float64(16.0)], 'x6', np.float64(0.968938619432501))]",)
23:54:42 autowsgr  DEBUG | ('数字解析结果：[([np.float64(96.0), np.float64(16.0)], 4, np.float64(0.8570212758903571)), ([np.float64(256.0), np.float64(16.0)], 4, np.float64(0.815403407129695)), ([np.float64(417.0), np.float64(16.0)], 4, np.float64(0.9233469275275517)), ([np.float64(577.0), np.float64(16.0)], 5, np.float64(0.9847507373878163)), ([np.float64(737.0), np.float64(16.0)], 6, np.float64(0.968938619432501))]',)
23:54:43 autowsgr  DEBUG | ("原始OCR结果: [((np.float64(144.0), 20.5), '瑞凤', np.float64(0.6949052926460559))]",)
23:54:43 autowsgr  DEBUG | ("修正OCR结果：[([np.float64(72.0), 10.0], '瑞凤', np.float64(0.6949052926460559))]",)
23:54:43 autowsgr  DEBUG | ("原始OCR结果: [((np.float64(149.0), np.float64(21.0)), 'M-296', np.float64(0.9478879052326425))]",)
23:54:43 autowsgr  DEBUG | ("修正OCR结果：[([np.float64(74.0), np.float64(10.0)], 'M-296', np.float64(0.9478879052326425))]",)
23:54:43 autowsgr  DEBUG | ("原始OCR结果: [((np.float64(146.0), 20.5), '祥凤', np.float64(0.9720681901158731))]",)
23:54:43 autowsgr  DEBUG | ("修正OCR结果：[([np.float64(73.0), 10.0], '祥凤', np.float64(0.9720681901158731))]",)
23:54:43 autowsgr  DEBUG | ("原始OCR结果: [((np.float64(144.0), 20.5), '加里波第', np.float64(0.6942192912101746))]",)
23:54:43 autowsgr  DEBUG | ("修正OCR结果：[([np.float64(72.0), 10.0], '加里波第', np.float64(0.6942192912101746))]",)
23:54:43 autowsgr  DEBUG | ("原始OCR结果: [((np.float64(146.0), 20.5), '征服者', np.float64(0.9329541135391672))]",)
23:54:43 autowsgr  DEBUG | ("修正OCR结果：[([np.float64(73.0), 10.0], '征服者', np.float64(0.9329541135391672))]",)
